domain,operator,family,criterion,raw_value,normalized_value,unit,sample_count,reference_tier,runtime_protocol,candidate_pool
WBC,Fourier Transform Sharpness Index,frequency,steep_to_gradual_slope_ratio,0.5306266844562975,0.1603866771337117,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier Transform Sharpness Index,frequency,execution_time_per_slice,0.000532301,0.053211462945667504,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Fourier Transform Sharpness Index,frequency,steep_slope_width,8.145229503744229,0.9358414385674142,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier Transform Sharpness Index,frequency,curvature_at_peak,0.21110388722832524,0.0656237746210036,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier Transform Sharpness Index,frequency,rrmse_under_additive_noise,0.12051700448379567,0.13032401181520167,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier High Frequency Energy Ratio,frequency,absolute_peak_localization_error,0.4592014899313235,0.08885981604820807,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Fourier High Frequency Energy Ratio,frequency,range_around_global_maximum,1.3096651534551662,0.0,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier High Frequency Energy Ratio,frequency,false_maxima_count,0.2065339696581694,0.22334397186217675,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier High Frequency Energy Ratio,frequency,fwhm,4.397470220773678,0.00872183486547185,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier High Frequency Energy Ratio,frequency,noise_level,0.05063726867477204,0.11489117929183802,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier High Frequency Energy Ratio,frequency,steep_to_gradual_slope_ratio,0.8145360953641403,0.034131114738271975,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier High Frequency Energy Ratio,frequency,execution_time_per_slice,0.000599362,0.06013900959460201,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Fourier High Frequency Energy Ratio,frequency,steep_slope_width,8.32995770767858,0.9655062837631548,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier High Frequency Energy Ratio,frequency,curvature_at_peak,0.33874476676118725,0.006338801958068921,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Fourier High Frequency Energy Ratio,frequency,rrmse_under_additive_noise,0.13057532806440517,0.1415432681865122,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Roberts Focus Measure,gradient,absolute_peak_localization_error,0.10053156403988671,0.015564541706311453,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Roberts Focus Measure,gradient,range_around_global_maximum,1.345827028285415,0.008418314349974278,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Roberts Focus Measure,gradient,false_maxima_count,0.3280176929344663,0.42727805640591415,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Roberts Focus Measure,gradient,fwhm,4.463702324137664,0.023078799296870574,slices,25773,not_reference_dependent,not_applicable,frozen_32
