domain,stack_index,stack_id,slice_count,submitted_peak,corrected_peak,absolute_peak_shift,submitted_constant,corrected_constant
WBC,23412,WBC_23412,10,7,7,0,False,False
WBC,23413,WBC_23413,10,9,9,0,False,False
WBC,23414,WBC_23414,10,9,9,0,False,False
WBC,23415,WBC_23415,10,6,6,0,False,False
WBC,23416,WBC_23416,10,6,6,0,False,False
WBC,23417,WBC_23417,10,8,8,0,False,False
WBC,23418,WBC_23418,10,6,6,0,False,False
WBC,23419,WBC_23419,10,6,6,0,False,False
WBC,23420,WBC_23420,10,8,8,0,False,False
WBC,23421,WBC_23421,10,7,7,0,False,False
WBC,23422,WBC_23422,10,7,7,0,False,False
WBC,23423,WBC_23423,10,7,7,0,False,False
WBC,23424,WBC_23424,10,9,9,0,False,False
WBC,23425,WBC_23425,10,6,6,0,False,False
WBC,23426,WBC_23426,10,6,6,0,False,False
WBC,23427,WBC_23427,10,8,8,0,False,False
WBC,23428,WBC_23428,10,9,9,0,False,False
WBC,23429,WBC_23429,10,9,9,0,False,False
WBC,23430,WBC_23430,10,8,8,0,False,False
WBC,23431,WBC_23431,10,9,9,0,False,False
WBC,23432,WBC_23432,10,6,6,0,False,False
WBC,23433,WBC_23433,10,6,6,0,False,False
WBC,23434,WBC_23434,10,7,7,0,False,False
WBC,23435,WBC_23435,10,7,7,0,False,False
WBC,23436,WBC_23436,10,7,7,0,False,False
WBC,23437,WBC_23437,10,8,8,0,False,False
WBC,23438,WBC_23438,10,6,6,0,False,False
WBC,23439,WBC_23439,10,7,7,0,False,False
WBC,23440,WBC_23440,10,6,6,0,False,False
WBC,23441,WBC_23441,10,5,5,0,False,False
WBC,23442,WBC_23442,10,6,6,0,False,False
WBC,23443,WBC_23443,10,5,5,0,False,False
WBC,23444,WBC_23444,10,6,6,0,False,False
WBC,23445,WBC_23445,10,5,5,0,False,False
WBC,23446,WBC_23446,10,8,8,0,False,False
WBC,23447,WBC_23447,10,7,7,0,False,False
WBC,23448,WBC_23448,10,6,6,0,False,False
WBC,23449,WBC_23449,10,5,5,0,False,False
WBC,23450,WBC_23450,10,7,7,0,False,False
WBC,23451,WBC_23451,10,8,8,0,False,False
WBC,23452,WBC_23452,10,6,6,0,False,False
WBC,23453,WBC_23453,10,8,8,0,False,False
WBC,23454,WBC_23454,10,7,7,0,False,False
WBC,23455,WBC_23455,10,6,6,0,False,False
WBC,23456,WBC_23456,10,9,9,0,False,False
WBC,23457,WBC_23457,10,7,7,0,False,False
WBC,23458,WBC_23458,10,6,6,0,False,False
WBC,23459,WBC_23459,10,8,8,0,False,False
WBC,23460,WBC_23460,10,7,7,0,False,False
WBC,23461,WBC_23461,10,6,6,0,False,False
WBC,23462,WBC_23462,10,8,8,0,False,False
WBC,23463,WBC_23463,10,7,7,0,False,False
WBC,23464,WBC_23464,10,9,9,0,False,False
WBC,23465,WBC_23465,10,6,6,0,False,False
WBC,23466,WBC_23466,10,6,6,0,False,False
WBC,23467,WBC_23467,10,9,9,0,False,False
WBC,23468,WBC_23468,10,7,7,0,False,False
WBC,23469,WBC_23469,10,9,9,0,False,False
WBC,23470,WBC_23470,10,6,6,0,False,False
WBC,23471,WBC_23471,10,7,7,0,False,False
WBC,23472,WBC_23472,10,7,7,0,False,False
WBC,23473,WBC_23473,10,6,6,0,False,False
WBC,23474,WBC_23474,10,7,7,0,False,False
WBC,23475,WBC_23475,10,9,9,0,False,False
WBC,23476,WBC_23476,10,6,6,0,False,False
WBC,23477,WBC_23477,10,6,6,0,False,False
WBC,23478,WBC_23478,10,8,8,0,False,False
WBC,23479,WBC_23479,10,7,7,0,False,False
WBC,23480,WBC_23480,10,6,6,0,False,False
WBC,23481,WBC_23481,10,6,6,0,False,False
WBC,23482,WBC_23482,10,8,8,0,False,False
WBC,23483,WBC_23483,10,9,9,0,False,False
WBC,23484,WBC_23484,10,8,8,0,False,False
WBC,23485,WBC_23485,10,5,5,0,False,False
WBC,23486,WBC_23486,10,9,9,0,False,False
WBC,23487,WBC_23487,10,6,6,0,False,False
WBC,23488,WBC_23488,10,7,7,0,False,False
WBC,23489,WBC_23489,10,5,5,0,False,False
WBC,23490,WBC_23490,10,5,5,0,False,False
WBC,23491,WBC_23491,10,5,5,0,False,False
WBC,23492,WBC_23492,10,9,9,0,False,False
WBC,23493,WBC_23493,10,7,7,0,False,False
WBC,23494,WBC_23494,10,6,6,0,False,False
WBC,23495,WBC_23495,10,8,8,0,False,False
WBC,23496,WBC_23496,10,8,8,0,False,False
WBC,23497,WBC_23497,10,6,6,0,False,False
WBC,23498,WBC_23498,10,7,7,0,False,False
WBC,23499,WBC_23499,10,9,9,0,False,False
WBC,23500,WBC_23500,10,5,5,0,False,False
WBC,23501,WBC_23501,10,5,5,0,False,False
WBC,23502,WBC_23502,10,7,7,0,False,False
