domain,resolution,operator,height,width,megapixels,kernel_n_measurements,kernel_median_ms,kernel_mean_ms,kernel_sd_ms,kernel_iqr_ms,kernel_p5_ms,kernel_p95_ms,kernel_bootstrap_mean_ci_low_ms,kernel_bootstrap_mean_ci_high_ms,preprocessing_n_measurements,preprocessing_median_ms,preprocessing_mean_ms,preprocessing_sd_ms,preprocessing_iqr_ms,preprocessing_p5_ms,preprocessing_p95_ms,preprocessing_bootstrap_mean_ci_low_ms,preprocessing_bootstrap_mean_ci_high_ms,combined_n_measurements,combined_median_ms,combined_mean_ms,combined_sd_ms,combined_iqr_ms,combined_p5_ms,combined_p95_ms,combined_bootstrap_mean_ci_low_ms,combined_bootstrap_mean_ci_high_ms,io_mean_ms,kernel_megapixels_per_second
BMA,1024,Fourier Transform Sharpness Index,864,1024,0.884736,21,18.730068,18.743883619047622,0.6161768962076133,0.502679999999998,18.019138,19.855369,18.501316599999996,19.016982195238096,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,27.382593,28.184187190476194,1.9024289254220148,1.3610429999999987,26.638806,31.525341,27.477885923809524,29.035578883333333,559.8028564285714,47.236133899780825
BMA,1024,Fourier High Frequency Energy Ratio,864,1024,0.884736,21,21.196329,21.905320999999997,2.3032596222506703,2.8056030000000014,19.672646,26.414858,21.003872844047617,22.89812631547619,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,31.090998,31.64619723809524,3.446386479473376,2.225898000000001,28.690948,36.104392,30.45382582738095,33.21035808095238,559.8028564285714,41.7400579128584
BMA,1024,Roberts Focus Measure,864,1024,0.884736,21,2.536277,2.5527787142857146,0.14085407132211078,0.13723100000000032,2.389483,2.801017,2.5001565309523808,2.6163318309523813,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,11.196592,11.194445714285715,0.36615267957590353,0.300889999999999,10.641458,11.718623,11.038890177380953,11.344259838095239,559.8028564285714,348.83256048136695
BMA,1024,Wavelet W1,864,1024,0.884736,21,12.56676,12.637408190476188,0.3820255794897273,0.4411260000000006,12.088036,13.371229,12.485001942857144,12.795379246428572,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,21.631631,21.932040142857144,1.499832032908295,1.1957740000000001,20.623948,23.020151,21.406254984523812,22.662221201190476,559.8028564285714,70.40287233940968
BMA,1024,Wavelet W2,864,1024,0.884736,21,14.44445,14.633608714285712,0.6140552415854085,0.8135130000000004,13.70991,15.682577,14.377736058333332,14.888885032142857,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,23.499176,23.526551904761906,0.8878625241511157,0.9061599999999999,22.399461,25.468141,23.176192863095242,23.919322933333333,559.8028564285714,61.25093028810374
BMA,1024,Wavelet W3,864,1024,0.884736,21,14.708511,14.734588333333337,0.7119939856924588,0.6602759999999996,13.819362,15.837791,14.460598274999999,15.036909248809526,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,24.024234,24.27704057142857,1.2444324429789495,1.2766550000000016,22.634644,26.695895,23.788546355952377,24.806518397619048,559.8028564285714,60.15129607612898
BMA,1024,Wavelet Detail Energy (db1),864,1024,0.884736,21,12.575783,12.788143714285715,0.5942442296734687,0.44375499999999946,12.234663,13.679784,12.57230639047619,13.048336688095239,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,21.894779,21.95073057142857,0.6205397303078645,0.45215299999999914,21.207002,23.263361,21.68790379285714,22.199677710714283,559.8028564285714,70.35235897438751
BMA,1024,Curvelet Transform Sharpness Index,864,1024,0.884736,21,12.424811,12.46496704761905,0.31306146382132005,0.42865600000000015,12.07827,12.895746,12.334259889285713,12.59338735595238,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,21.563228,21.636031095238096,0.7812883996546924,0.6749759999999974,20.762193,22.516045,21.35035766904762,21.981944551190477,559.8028564285714,71.2071998519736
BMA,1024,DCT Focus Measure,864,1024,0.884736,21,6.72278,6.614252142857144,0.5182398633358193,0.6935279999999997,6.046072,7.303959,6.409620027380952,6.844971292857141,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,14.679047,15.015026285714285,0.8420507567748007,1.3909289999999999,14.120895,16.056856,14.678644555952381,15.380101654761901,559.8028564285714,131.6027000734815
BMA,1024,Intensity Skewness Index,864,1024,0.884736,21,7.328782,7.328143857142858,0.1587786570434722,0.179678,7.131655,7.648403,7.265488598809524,7.399001291666668,21,8.106778,8.308324095238094,0.6229083977500146,0.42046899999999976,7.928446,9.355247,8.096293741666667,8.598828488095236,21,15.707078,15.82091304761905,0.35050051427458373,0.37135300000000093,15.407361,16.43595,15.677732048809526,15.973838254761906,559.8028564285714,120.72074186406417
