condition,operator,family,n_stacks,mean_absolute_peak_error_slices,exact_match_rate,within_one_slice_rate,mean_false_maxima_count,mean_noise_level,mean_fwhm_slices
aspect_0.5x_bilinear,DCT Focus Measure,frequency,15,0.26666666666666666,0.8,0.9333333333333333,0.0,0.04980114015495055,5.066666666666666
aspect_0.5x_bilinear,Intensity Skewness Index,statistical,15,6.0,0.0,0.06666666666666667,0.2,0.048190772531793415,8.466666666666667
aspect_0.5x_bilinear,Squared Gradient,gradient,15,0.2,0.8666666666666667,0.9333333333333333,0.0,0.043883954858279686,5.266666666666667
aspect_0.5x_bilinear,Gradient Squared Energy,gradient,15,0.2,0.8666666666666667,0.9333333333333333,0.0,0.043883954858279686,5.266666666666667
aspect_0.5x_bilinear,Mean Intensity,statistical,15,4.733333333333333,0.06666666666666667,0.06666666666666667,1.2666666666666666,0.14194426659115292,6.6
aspect_0.5x_bilinear,Intensity Variance,statistical,15,1.0,0.6,0.6666666666666666,0.4,0.03837324530043276,6.466666666666667
aspect_0.5x_bilinear,Intensity Range Index,statistical,15,0.8666666666666667,0.3333333333333333,0.8,0.9333333333333333,0.142257474049509,6.0
aspect_0.5x_bilinear,Maximal Intensity,statistical,15,1.2666666666666666,0.26666666666666666,0.7333333333333333,1.1333333333333333,0.23430847362626203,5.466666666666667
aspect_0.5x_bilinear,Laplacian Energy,laplacian,15,0.2,0.8666666666666667,0.9333333333333333,0.0,0.10391733419691458,3.4
aspect_0.5x_bilinear,Mean Absolute Laplacian,laplacian,15,0.26666666666666666,0.8,0.9333333333333333,0.0,0.07186462409408635,4.133333333333334
aspect_0.5x_bilinear,Spatial Frequency,gradient,15,0.06666666666666667,0.9333333333333333,1.0,0.0,0.046502080403506625,4.8
aspect_0.5x_bilinear,Modified Tenengrad,gradient,15,0.2,0.8666666666666667,0.9333333333333333,0.0,0.04445491492957055,5.266666666666667
aspect_0.5x_bilinear,Absolute Central Moment 2,statistical,15,1.0,0.6,0.6666666666666666,0.4,0.03837324530043276,6.466666666666667
aspect_0.5x_bilinear,Absolute Central Moment 4,statistical,15,1.2,0.4,0.6666666666666666,0.4,0.06286415256762963,6.0
aspect_0.5x_bilinear,Image Power,statistical,15,2.6,0.26666666666666666,0.4,1.1333333333333333,0.14145694872193254,7.666666666666667
aspect_0.5x_bicubic,Tenengrad,gradient,15,0.13333333333333333,0.9333333333333333,0.9333333333333333,0.0,0.04696261645382087,5.2
aspect_0.5x_bicubic,Brenner Gradient,gradient,15,0.06666666666666667,0.9333333333333333,1.0,0.0,0.05802666399490145,4.8
aspect_0.5x_bicubic,Variance of Laplacian,laplacian,15,0.2,0.8666666666666667,0.9333333333333333,0.0,0.1169113888533179,3.0
aspect_0.5x_bicubic,Sum Modified Laplacian,laplacian,15,0.2,0.8666666666666667,0.9333333333333333,0.0,0.11482283692429991,3.066666666666667
aspect_0.5x_bicubic,Normalized Variance,statistical,15,1.0,0.6,0.6666666666666666,0.13333333333333333,0.034361986062128765,6.533333333333333
aspect_0.5x_bicubic,Energy of Gradient,gradient,15,0.13333333333333333,0.9333333333333333,0.9333333333333333,0.0,0.04696261645382087,5.2
aspect_0.5x_bicubic,Histogram Entropy,entropy,15,3.8,0.2,0.4,0.5333333333333333,0.07612013213830997,6.866666666666666
aspect_0.5x_bicubic,GLCM Contrast,texture,15,0.13333333333333333,0.8666666666666667,1.0,0.2,0.09482039817062733,4.0
aspect_0.5x_bicubic,Variance of Gradient,gradient,15,0.2,0.8,1.0,0.0,0.051172091166119954,5.2
aspect_0.5x_bicubic,Fourier Transform Sharpness Index,frequency,15,0.0,1.0,1.0,0.0,0.04587434854365176,4.733333333333333
aspect_0.5x_bicubic,Fourier High Frequency Energy Ratio,frequency,15,0.4666666666666667,0.6666666666666666,0.8666666666666667,0.06666666666666667,0.049449227672134215,4.866666666666666
aspect_0.5x_bicubic,Roberts Focus Measure,gradient,15,0.06666666666666667,0.9333333333333333,1.0,0.0,0.07006561961809346,4.266666666666667
aspect_0.5x_bicubic,Wavelet W1,wavelet,15,0.26666666666666666,0.7333333333333333,1.0,0.0,0.0535847306434328,4.333333333333333
aspect_0.5x_bicubic,Wavelet W2,wavelet,15,0.26666666666666666,0.7333333333333333,1.0,0.0,0.0535847306434328,4.333333333333333
aspect_0.5x_bicubic,Wavelet W3,wavelet,15,0.26666666666666666,0.7333333333333333,1.0,0.0,0.0535847306434328,4.333333333333333
aspect_0.5x_bicubic,Wavelet Detail Energy (db1),wavelet,15,0.26666666666666666,0.7333333333333333,1.0,0.0,0.05358472559371367,4.333333333333333
