condition,operator,family,mechanism_score,rank,mean_absolute_peak_error_slices,mean_false_maxima_count,mean_noise_level,mean_fwhm_slices,rank_shift_vs_native,rank_shift_vs_controlled_base
aspect_2x_area,Tenengrad,gradient,0.12829468691010582,8,0.06666666666666667,0.0,0.09083001892437777,3.533333333333333,3,-4
aspect_2x_area,Roberts Focus Measure,gradient,0.130148867872563,9,0.06666666666666667,0.0,0.09225661162262914,3.533333333333333,-10,-5
aspect_2x_area,Variance of Laplacian,laplacian,0.13582896124935886,10,0.06666666666666667,0.0,0.09949769924654582,3.4,-20,-9
aspect_2x_area,Laplacian Energy,laplacian,0.13582898690678566,11,0.06666666666666667,0.0,0.09949771898717442,3.4,-18,-9
aspect_2x_area,Brenner Gradient,gradient,0.14060408748587858,12,0.0,0.06666666666666667,0.09518526211098573,3.4,4,4
aspect_2x_area,Sum Modified Laplacian,laplacian,0.1431511675976512,13,0.06666666666666667,0.06666666666666667,0.09357233154601158,3.466666666666667,-18,-9
aspect_2x_area,Variance of Gradient,gradient,0.150896675830468,14,0.06666666666666667,0.06666666666666667,0.09953166653699287,3.466666666666667,7,-1
aspect_2x_area,Modified Tenengrad,gradient,0.16104023029611367,15,0.06666666666666667,0.13333333333333333,0.09721245611039284,3.466666666666667,9,2
aspect_2x_area,Fourier High Frequency Energy Ratio,frequency,0.20478981478687758,16,0.3333333333333333,0.13333333333333333,0.12663054934641696,3.2666666666666666,-7,-1
aspect_2x_area,Normalized Variance,statistical,0.20521899479109007,17,1.0,0.13333333333333333,0.03381706972854204,6.6,8,-4
aspect_2x_area,Absolute Central Moment 2,statistical,0.24816884467775296,18,1.0,0.4,0.04072235658561314,5.933333333333334,8,-5
aspect_2x_area,Intensity Variance,statistical,0.24816884467775296,19,1.0,0.4,0.04072235658561314,5.933333333333334,8,-5
aspect_2x_area,Absolute Central Moment 4,statistical,0.274710472592211,20,1.1333333333333333,0.3333333333333333,0.066992464592533,5.933333333333334,8,-5
aspect_2x_area,GLCM Contrast,texture,0.4217594647522632,21,1.6,0.5333333333333333,0.1290579450019411,6.2,-4,-5
aspect_2x_area,Intensity Range Index,statistical,0.4548427993024238,22,0.9333333333333333,1.1333333333333333,0.10917413587558324,5.066666666666666,1,-5
aspect_2x_area,Histogram Entropy,entropy,0.45926338247967713,23,3.7333333333333334,0.5333333333333333,0.07373297096082793,6.933333333333334,1,-5
aspect_2x_area,Curvelet Transform Sharpness Index,wavelet_alias,0.4833333333333333,24,5.6,0.0,0.0,12.2,10,21
aspect_2x_area,Wavelet Detail Energy (db1),wavelet,0.4833333333333333,25,5.6,0.0,0.0,12.2,10,21
aspect_2x_area,Wavelet W1,wavelet,0.4833333333333333,26,5.6,0.0,0.0,12.2,10,21
aspect_2x_area,Wavelet W2,wavelet,0.4833333333333333,27,5.6,0.0,0.0,12.2,10,21
aspect_2x_area,Wavelet W3,wavelet,0.4833333333333333,28,5.6,0.0,0.0,12.2,10,21
aspect_2x_area,Intensity Skewness Index,statistical,0.49266963745998527,29,6.0,0.13333333333333333,0.05306175178601582,8.533333333333333,5,0
aspect_2x_area,Maximal Intensity,statistical,0.5184254167757704,30,1.5333333333333334,0.8,0.19234809427134467,4.933333333333334,4,0
aspect_2x_area,Image Power,statistical,0.614922843054404,31,2.1333333333333333,1.1333333333333333,0.14219327499139967,7.466666666666667,4,0
aspect_2x_area,Mean Intensity,statistical,0.7249945909177004,32,4.733333333333333,1.2666666666666666,0.14194426607233052,6.6,0,0
aspect_2x_bicubic,Fourier Transform Sharpness Index,frequency,0.1032968471550055,1,0.0,0.0,0.05192808664378631,4.266666666666667,0,0
aspect_2x_bicubic,Curvelet Transform Sharpness Index,wavelet_alias,0.12872102363079763,2,0.2,0.0,0.06060003758288213,4.2,-12,-1
aspect_2x_bicubic,Wavelet Detail Energy (db1),wavelet,0.12872102363079763,3,0.2,0.0,0.06060003758288213,4.2,-12,-1
aspect_2x_bicubic,Wavelet W1,wavelet,0.12872103143406682,4,0.2,0.0,0.0606000409609523,4.2,-12,-1
