domain,stack_index,source_folder,condition,geometry,direction,scale_factor,interpolation,operator,family,reference_tier,reference_index,slice_count,peak_index,absolute_peak_error_slices,exact_match,within_one_slice,false_maxima_count,noise_level,fwhm_slices
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bicubic,aspect_preserved,downsample,0.5,bicubic,Variance of Laplacian,laplacian,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.02296746156951724,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bicubic,aspect_preserved,downsample,0.5,bicubic,Sum Modified Laplacian,laplacian,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.02252968107275428,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bicubic,aspect_preserved,downsample,0.5,bicubic,Normalized Variance,statistical,REF-B_fixed_ten_diagnostic,7,10,8,1,0,1,0.0,0.004916602264139966,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bicubic,aspect_preserved,downsample,0.5,bicubic,Energy of Gradient,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.016268601594508707,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bicubic,aspect_preserved,downsample,0.5,bicubic,Histogram Entropy,entropy,REF-B_fixed_ten_diagnostic,7,10,4,3,0,0,2.0,0.5329040878222339,10.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bicubic,aspect_preserved,downsample,0.5,bicubic,GLCM Contrast,texture,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.026283128981735873,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bicubic,aspect_preserved,downsample,0.5,bicubic,Variance of Gradient,gradient,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.01376439687760266,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bicubic,aspect_preserved,downsample,0.5,bicubic,Fourier Transform Sharpness Index,frequency,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.009774355537809618,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bicubic,aspect_preserved,downsample,0.5,bicubic,Fourier High Frequency Energy Ratio,frequency,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.024762664385026716,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_bicubic,aspect_preserved,downsample,0.5,bicubic,Roberts Focus Measure,gradient,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.016348998242092735,6.0
