domain,operator,family,reference_tier,n_stacks,mean_absolute_displacement_slices,median_absolute_displacement_slices,p90_absolute_displacement_slices,mean_absolute_displacement_um,median_absolute_displacement_um,p90_absolute_displacement_um,mean_normalized_axial_displacement,exact_match_rate,within_one_slice_rate,units_status
TBI,Mean Intensity,statistical,REF-B_fixed_ten_diagnostic,30,3.4,4.0,5.0,8.5,10.0,12.5,0.3777777777777777,0.06666666666666667,0.1,axial step verified from official record
TBI,Mean Intensity,statistical,REF-C_fixed_disjoint_four_confirmatory,30,3.4,4.0,5.0,8.5,10.0,12.5,0.3777777777777777,0.06666666666666667,0.1,axial step verified from official record
TBI,Intensity Variance,statistical,REF-B_fixed_ten_diagnostic,30,0.03333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0037037037037037034,0.9666666666666667,1.0,axial step verified from official record
TBI,Intensity Variance,statistical,REF-C_fixed_disjoint_four_confirmatory,30,0.03333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0037037037037037034,0.9666666666666667,1.0,axial step verified from official record
TBI,Intensity Range Index,statistical,REF-B_fixed_ten_diagnostic,30,1.1666666666666667,1.0,3.0,2.9166666666666665,2.5,7.5,0.12962962962962965,0.3,0.7333333333333333,axial step verified from official record
TBI,Intensity Range Index,statistical,REF-C_fixed_disjoint_four_confirmatory,30,1.1666666666666667,1.0,3.0,2.9166666666666665,2.5,7.5,0.12962962962962965,0.3,0.7333333333333333,axial step verified from official record
TBI,Maximal Intensity,statistical,REF-B_fixed_ten_diagnostic,30,1.7,1.0,4.0,4.25,2.5,10.0,0.18888888888888886,0.13333333333333333,0.5333333333333333,axial step verified from official record
TBI,Maximal Intensity,statistical,REF-C_fixed_disjoint_four_confirmatory,30,1.7,1.0,4.0,4.25,2.5,10.0,0.18888888888888886,0.13333333333333333,0.5333333333333333,axial step verified from official record
TBI,Laplacian Energy,laplacian,REF-B_fixed_ten_diagnostic,30,1.9333333333333333,2.0,4.100000000000001,4.833333333333333,5.0,10.250000000000004,0.2148148148148148,0.23333333333333334,0.4666666666666667,axial step verified from official record
TBI,Laplacian Energy,laplacian,REF-C_fixed_disjoint_four_confirmatory,30,1.9333333333333333,2.0,4.100000000000001,4.833333333333333,5.0,10.250000000000004,0.2148148148148148,0.23333333333333334,0.4666666666666667,axial step verified from official record
TBI,Mean Absolute Laplacian,laplacian,REF-B_fixed_ten_diagnostic,30,2.5,2.0,5.0,6.25,5.0,12.5,0.27777777777777773,0.13333333333333333,0.36666666666666664,axial step verified from official record
TBI,Mean Absolute Laplacian,laplacian,REF-C_fixed_disjoint_four_confirmatory,30,2.5,2.0,5.0,6.25,5.0,12.5,0.27777777777777773,0.13333333333333333,0.36666666666666664,axial step verified from official record
TBI,Spatial Frequency,gradient,REF-B_fixed_ten_diagnostic,30,0.06666666666666667,0.0,0.0,0.16666666666666666,0.0,0.0,0.007407407407407407,0.9333333333333333,1.0,axial step verified from official record
TBI,Spatial Frequency,gradient,REF-C_fixed_disjoint_four_confirmatory,30,0.06666666666666667,0.0,0.0,0.16666666666666666,0.0,0.0,0.007407407407407407,0.9333333333333333,1.0,axial step verified from official record
TBI,Modified Tenengrad,gradient,REF-B_fixed_ten_diagnostic,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,axial step verified from official record
TBI,Modified Tenengrad,gradient,REF-C_fixed_disjoint_four_confirmatory,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,axial step verified from official record
TBI,Absolute Central Moment 2,statistical,REF-B_fixed_ten_diagnostic,30,0.03333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0037037037037037034,0.9666666666666667,1.0,axial step verified from official record
TBI,Absolute Central Moment 2,statistical,REF-C_fixed_disjoint_four_confirmatory,30,0.03333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0037037037037037034,0.9666666666666667,1.0,axial step verified from official record
TBI,Absolute Central Moment 4,statistical,REF-B_fixed_ten_diagnostic,30,0.1,0.0,0.10000000000000142,0.25,0.0,0.25000000000000355,0.01111111111111111,0.9,1.0,axial step verified from official record
TBI,Absolute Central Moment 4,statistical,REF-C_fixed_disjoint_four_confirmatory,30,0.1,0.0,0.10000000000000142,0.25,0.0,0.25000000000000355,0.01111111111111111,0.9,1.0,axial step verified from official record
TBI,Image Power,statistical,REF-B_fixed_ten_diagnostic,30,3.3,3.0,5.0,8.25,7.5,12.5,0.3666666666666666,0.06666666666666667,0.1,axial step verified from official record
TBI,Image Power,statistical,REF-C_fixed_disjoint_four_confirmatory,30,3.3,3.0,5.0,8.25,7.5,12.5,0.3666666666666666,0.06666666666666667,0.1,axial step verified from official record
PBS,Tenengrad,gradient,REF-B_fixed_ten_diagnostic,77,0.4675324675324675,0.0,0.8000000000000114,0.23376623376623376,0.0,0.4000000000000057,0.05844155844155844,0.8961038961038961,0.8961038961038961,axial step verified from official record
PBS,Tenengrad,gradient,REF-C_fixed_disjoint_four_confirmatory,77,1.2337662337662338,0.0,4.0,0.6168831168831169,0.0,2.0,0.12569573283858998,0.6233766233766234,0.7012987012987013,axial step verified from official record
PBS,Brenner Gradient,gradient,REF-B_fixed_ten_diagnostic,77,0.23376623376623376,0.0,0.0,0.11688311688311688,0.0,0.0,0.02922077922077922,0.922077922077922,0.974025974025974,axial step verified from official record
